job_title; company; company_size; industry; required_experience; posting_date; closing_date; link; job_description
Data Scientist;Singapore Technologies Electronics Limited;501 - 1000 Employees;Electrical & Electronics;Min 2 years (Manager) ;23-July-2018;12-August-2018;https://www.jobstreet.com.sg/en/job/data-scientist-6618475?fr=21&src=16&srcr=16; Our people equates to our business. ST Engineering harnesses the full potential of our people by equipping them with work competencies and soft skills to effectively and creatively deliver at the workplace. We offer challenging growth opportunities in wide-ranging integrated engineering fields spanning both defence and commercial businesses. Innovation drives our culture. We are the people  behind many of the technologies and Innovations that impact your everyday life. We value our people because we understand that innovation is not just about technology, it comes from the hearts and minds that drive it. Job DescriptionWork in Strategic Technology Centre to deliver data analytic solution to customers/users. These solutions range from Descriptive, Diagnostic, Predictive, Prescriptive to Machine Learning and AI in developing data models with algorithms for big data analytics. Job RequirementsMaster’s Degree or PHD in Science/Engineering/Mathematics with at least 2-3 years of working experience in data analyticsIn-depth technical knowledge in either (1) operational research (2) computer network (3) computer vision (4) fluid dynamics (5) engineering mechanics (6) video or image processing (7) AI and neural network (8) geometry and topology (9) social and cognitive computingGood experience with end-to-end data profiling, mathematical modelling, testing, validation, algorithm, visualization, ideation and solutioningExperience in MySQL, Python, Matlab, Java or CKnowledge of Hadoop and Spark We regret to inform that only shortlisted candidates will be notified.  
Data Scientist;Hanalytics Pte Ltd;1 - 50 Employees;Healthcare/Medical;Min 1 year (Entry Level) ;29-July-2018;12-August-2018;https://www.jobstreet.com.sg/en/job/data-scientist-6617049?fr=21&src=16&srcr=16; Job Category: Machine Learning, Computer Science, Computer Programming ||Job Type: Full-time ||Salary Range: SGD 4,800 – 7,200 ||Equity: Based on performance ||Years of Experience Required: 1 – 4 years ||No. of Vacancies: 4 ||||Responsibilities |||The candidate is a skilled data scientist and will be building deep learning models for medical image diagnosis applications such as segmentation, localization and classification of abnormalities. The candidate will write high quality model with high performance and good memory management, together with state-of-the-art accuracies and embed into our proprietary software. ||Our aim is to align you with the activities which truly interest you| will stretch you technically| help you grow and impact on billions of patients. |||Requirements |||1. Knows computer vision or image segmentation, localization, classification ||2. Knows tensorflow or theano or torch ||3. Strong python, C++ or java coder ||4. Good knowledge of numpy, pandas, sklearn, scipy, seaborn ||5. Knows how to build deep learning models like RNN and CNN and other neural network models||||Education: Bachelor or Master or PhD in Engineering or Computer Science or Mathematics or Physics ||We can offer you: |||Master, Teach, Learn – The opportunity to work with, learn from and share knowledge with ultra-smart colleagues in a culture of collaboration and technical excellence. We groom our employees and make sure that they stay at the cutting edge of the technology stack. ||Impact – Huge potential to make a positive contribution across our business, people and partners.||Remuneration – Competitive pay with share award for top performers. ||We are willing to groom engineers who don’t have a background in deep learning but are interested to learn. You will also have the opportunity to attend top machine learning conferences like NIPS and ICML. 
Data Scientist;IHIS - Integrated Health Information Systems Pte Ltd;1001 - 2000 Employees;Computer/Information Technology (Software);Min 5 years (Manager) ;23-July-2018;12-August-2018;https://www.jobstreet.com.sg/en/job/data-scientist-6616267?fr=21&src=16&srcr=16; Role Summary: The Data Scientist analyses data through application of scientific methods and data-discovery tools. He/She integrates and prepares large and varied datasets, and models complex business problems. He/She discovers business insights and identifies opportunities using statistical, algorithmic, mining and visualization techniques. He/She assists with architecting specialized database and computing environments, developing methodologies, performing analysis, summarizing results and developing conclusions. He/She possesses a combination of analytic, machine learning, data mining and statistical skills as well as experience with algorithms and coding. He/She has a deep passion for analyzing and resolving complex business problems. He/She displays an intellectual curiosity about the business needs as well as the capability to engage with stakeholders to understand business issues. Roles & Responsibilities Manage ProjectAssists in the conceptualization of analytical projectsMaintain project plans and status reports for all incoming and active projectsProvide subject matter expertise to stakeholders throughout the whole analytics lifecyclePrepare documentation to outline data sources, models and algorithms used and developedPrepare data setsDrive data collection effortsAssist with developing new data-discovery toolsExtract data from data sourcesPropose new uses for existing data sources and structuresIntegrate multiple data sets to build large and complex data setsApply programming abilities to build software to scrub, combine, and manage data from a variety of sourcesAnalyze dataApply data mining techniques and programming skills to investigate leads, identify patterns and regularities in dataDevelop data models based on advanced statistical modelling, data mining, and machine learning methodsImplement automated processes for efficiently producing scale modelsIdentify areas of improvement of current processes, products/services or analytical modelsPresent insightsAssist with the development of actionable recommendationsDevelop compelling, logically structured presentations including story telling of research/analytics findingsGuide stakeholders on how to act on findingsRequirementsPHD/Masters/Bachelors in Economics, Statistics/Biostatistics/Bioinformatics, Mathematics, Operation Research, Physics or other quantitative disciplines.Deep understanding of statistical modelling, machine learning, or data mining, text mining concepts and a track record of solving problems with these methods.Proficient in tools such as R/SAS/SPSS/Phyton.Excellent communication, relationship skills and a strong team player.Experience in big data techniques (such as Hadoop, MapReduce, Hive, Pig, and Spark), deep learning, and any BI/Visualisation tool (such as OBIEE, Tableau, and D3.js) is a plus. 
Senior / Data Scientist;Cadmus Resources(Recruitment Firm);1 - 50 Employees;Human Resources Management/Consulting;Min 4 years (Senior Executive) ;28-July-2018;27-August-2018;https://www.jobstreet.com.sg/en/job/senior-data-scientist-6648848?fr=21&src=16&srcr=16; New Start Up Back by Major CorporationJoin the 'A Team' Led by Top Digital VeteransExcellent Benefits and Competitive Package Responsibilities:Understand business logics from domain experts and come up with reasonable targets for data projectsData fetching from different sources such as database, big data lake running on hadoop/hiveEnhancing data by building autonomous pipelines from different sourcesData wrangling by preprocessing, cleansing, and feature engineeringApplying state-of-art machine learning techniques such as RNN, CNN for predictions and anomaly detectionsBuild agile data products in a team of data engineers, scientists and business usersDoing ad-hoc analysis and presenting results in clear mannerGuide junior team members on their projectsHelp find opportunities from different business partnersRequirements:Master or PhD of Computer Science/Engineering, Applied Mathematics or other engineering related areaData-oriented personality and software engineering practicesExcellent understanding of machine learning models, their pros and consExperience with common data science toolkits such as Python/RExperience with data visualization tools such as D3.js, matplotlib and etcProficiency in using query languages such as SQL, HiveGood understanding of statistics, such as distributions, A/B testing, model overfitting/underfittingExperience with one of deep learning libraries such as Tensorflow, Keras, Pytorch, CNTK, MXNet etc To apply, please email your detailed CV in MS Word format to [email protected] with the following details inside your CV for faster processing: Reasons for leaving for each past and current employment Salary drawn for each past and current employment Expected salary Earliest availability date We regret that only short-listed candidates will be contacted shortly. 
Data Scientist;    							    							        							       HENKEL SINGAPORE    							     																					;More than 5000 Employees;Consumer Products/FMCG;Min 5 years (Senior Executive) ;28-July-2018;11-August-2018;https://www.jobstreet.com.sg/en/job/data-scientist-3684917/origin/my?fr=21&src=16&srcr=16; What we offerExciting technical / scientific position in our Asian Supply Chain Center of ExcellenceInternational responsibility in developing and implementing Industry 4.0 projectsGovernance for existing Big Data and IoT applicationFurther development of performance management and reporting toolsRegular interaction with >45 international SC locationsBenchmark Henkel Laundry & Home Cares approach to Industry 4.0 vs. peers and other industrial areas and identify potential project ideas.Who we are looking forDegree in Informatics or Statistics or related fieldsExcellent communication skills, readiness to cooperate in international cross-functional teamsStructured, analytical and solution-oriented way of workingProfound knowledge of MS SQL and Tableau Server and related servicesHands-on experience with Big Data/Cloud stack (e.g., Azure, Hadoop)Candidates knowing multiple programming languages (e.g., C#, Java) will be preferredExperience with Mobility platforms, incl. iOS or HTML5Fluent English language skills 
Contract - Data Scientist for Business Analytics (BA);Infineon Technologies;2001 - 5000 Employees;Semiconductor/Wafer Fabrication;Min 1 year (Entry Level) ;28-July-2018;17-August-2018;https://www.jobstreet.com.sg/en/job/contract-data-scientist-for-business-analytics-ba-6626134?fr=21&src=16&srcr=16; Part of your life. Part of tomorrow. We make life easier, safer and greener - with technology that achieves more, consumes less and is accessible to everyone. Microelectronics from Infineon is the key to a better future. Efficient use of energy, environmentally-friendly mobility and security in a connected world - we solve some of the most critical challenges that our society faces while taking a conscientious approach to the use of natural resources.In your new role you will:Collect, analyze and interpret qualitative & quantitative data with statistical theories and methodsProve concepts, prototypes and implementations, mainly pertaining to the solutions and services in Business Analytics encompassing: Machine learning| Diagnostic Analytics| Predictive modelling| Macro/Micro econometrics analysis| Social Media Analytics| Web AnalyticsApply standard process Cross Industry Standard Process for Data Mining (CRISP-DM)Create and review technical design documentations to ensure accurate development of analytical modelsBuild text analytical models using different types of sources including but not limited to internal portals and social media platformsBuild Performance Metrics & dashboard / storyboard to present information and insights gathered as part of analysisYou are best equipped for this task if you have:Bachelor / Master Degree in any IT-related discipline / Mathematics / Statistics with at least 1 year relevant working experience in ITHands-on working exposure in data mining and modelling techniques, statistical analysis and econometricProficient with SPSS Modeler and programming languages such as Python, R, SQLDeep understanding of Statistical and Predictive Analytics, as well as 'Text Analytics' implementation process Highly motivated, structured and methodical with high degree of self-initiativeCustomer and result orientated team player, with good intercultural communication skills to work in international team 
VP/AVP, Data Scientist, Big Data Analytics Group, Data Management Office;United Overseas Bank Limited (UOB);More than 5000 Employees;Banking/Financial Services;Min 5 years (Senior Executive) ;28-July-2018;17-August-2018;https://www.jobstreet.com.sg/en/job/vpavp-data-scientist-big-data-analytics-group-data-management-office-6625662?fr=21&src=16&srcr=16; The Data Management Office (DMO) is a business function that covers Enterprise Data Governance, Data Management, Big Data Analytics and Enterprise Data Strategy. Data Management Office ensures that UOB meets all data governance standards set by data regulators and optimize data management and usage to help UOB make smarter, faster and more accurate decisions and to improve operational efficiency. The Big Data Analytics Group (BDAG) leads the transformational build, use, and deployment of the banks next generation analytics capabilities across the organization. This exciting role will play a pivotal part as an Analytics Centre of Excellence that will take analytics to the next level through use of latest data and analytics technology currently being deployed. You will work either individually or in project teams as a subject matter expert to deliver new Big Data and Machine Learning solutions for our business partners. Your main responsibilities include: ·         Design analytical solutions/experiments to solve various strategic business problems through engagement and research.·         Building and deploying Machine Learning Algorithms, Advanced Analytics, and Data Visualization across the UOB group and region.·         Support the Enterprise Data Architecture and Governance Program in developing and transforming the Analytics Capabilities across the group.·         Partnering with assigned teams and/or business units to provide deep expertise and advisory on advanced data analytics needs.·         Strong knowledge of data and analytics architecture to ensure analytics objectives are aligned to business priorities on the Data Analytics Transformation Program.·         Drive Innovation initiatives under CDO guidance and directives. Requirements ·         Min Postgraduate in Statistics, Mathematics, Engineering , Computer Science or a related field·         Min 5 years advanced analytics working experience in banking / financial services / consulting industry Possess a strong selection of skills and experience with analytical frameworks and languages such as SQL, R, SPARK, Python,  Hive and other Hadoop-based languages·         Possess a strong ability to query and use large, robust data sets across traditional Data Warehouse and Hadoop platforms.·         An analytical mind and team player with demonstrated ability to build strong partnerships by applying quantitative techniques to solve business problems·         A strong communicator, with clear articulation of analytical findings through presentations.·         Experience with data visualization packages and/or tools will be a plus·         Innovative and Agile thinking - experience with Test and Learn Frameworks desirable 
Data Analyst / Data Scientist (Economic Research Department/ Strategic Planning;Building and Construction Authority (BCA);501 - 1000 Employees;Government/Defence;Min 1 year (Junior Executive) ;28-July-2018;08-August-2018;https://www.jobstreet.com.sg/en/job/data-analyst-data-scientist-economic-research-department-strategic-planning-6612983?fr=21&src=16&srcr=16; Responsibilities You will help to identify valuable data sources, enhance data collection processes and actively involved in the building of a data hub to support the transformation of the built environment sector.  You will also be part of the team to collect, integrate and analyse datasets using appropriate methods and undertake research studies to support evidence-based policy formulation for the stability and viability of the built environment sector. Requirements A tertiary qualification in data science, data analytics, statistics, operation research or related quantitative disciplineExtensive experience in building data hub, data mining and statistical analysisAble to understand various data structures and common methods in data transformationExcellent pattern recognition and predictive modelling skillsKnowledge in programming languages an assetExcellent communications skills and the ability to explain quantitative analysis and results simply and logicallySuccessful candidates will be offered contractual employment. Remuneration shall commensurate with qualification and experience. Interested applicants, please apply online. 
Data scientist;Snaphunt Pte Ltd.;1 - 50 Employees;Consulting (Business & Management);Min 1 year (Entry Level) ;28-July-2018;11-August-2018;https://www.jobstreet.com.sg/en/job/data-scientist-6614158?fr=21&src=16&srcr=16; |||The Employer|Our client makes logistics profitable, with accurate cargo predictions. They use proprietary machine learning algorithms and real-time external market data (economic indices, marine weather and satellite-based data) to predict how much cargo will be shipped, from where and when will it arrive.| |The Job||Data sourcing, engineering and pipeline management|Time series data analytics using latest machine learning|Spot patterns and trends in data and propose new models / refinements|News crawling / sentiment analytics|Programming in Python, using AWS, SciPy stack / Keras and latest software development systems|In this role, y ou will be responsible for analyzing time series data as well as news crawling / sentiment analysis engine for live customer projects supporting some of the largest players in the logistics and maritime . The purpose of this analytics engine is to help logistics asset owners improve their capacity utilization and return on investments. You'll be required to be an end-to-end data scientist. The role includes understanding business needs, developing a proof-of-concept, data collection, and productionizing your data product||The Profile||Curious & analytical|Comfortable working with large amounts of data: facts, figures, and number crunching|Strong understanding of machine learning models|Able to compare different predictive models on different data sets and generate reports|Smart and hardworking individual who can work under pressure within a tight deadline|A team player|As an early member of an ambitious startup, the growth opportunities will be aplenty||Please apply using the following link: https://snaphunt.com/jobs/fceaf760-8582-11e8-8e71-a18ef00b46b7||| 
Data Scientist;Centre for Strategic Infocomm Technologies (CSIT);201 - 500 Employees;Government/Defence;Min 3 years (Junior Executive) ;28-July-2018;11-August-2018;https://www.jobstreet.com.sg/en/job/data-scientist-6613948?fr=21&src=16&srcr=16; Job Scope: Apply statistical and machine learning techniques on large-scale multimodal datasets and high velocity data streams to address business needsPerform data preprocessing and feature engineering, build and deploy machine learning models, and design experiments to evaluate techniques and algorithmsIdentify high-impact opportunities for applying statistical and machine learning to solve key business issuesConceptualise, design and develop advanced data analytics capabilities for users in fulfilling critical missionsCollaborate closely with business users to extract actionable insights from data and develop data-driven solutions to meet their needsPerform data analysis and visualisation, and present analytical insights to business users and stakeholdersActively conduct technology scans to understand technical and commercial drivers and leverage these technology advances and opportunities to guide in-house R&D effortsProvide technical inputs on data pipelining and architecture to integrate data analytics into enterprise systemsJob Requirements: Master’s and/or Bachelor’s degree in computer science, electrical engineering, industrial engineering, information systems, mathematics, statistics or other quantitative/analytical fieldsProficiency in programming languages such as Python, R, MATLAB preferred (e.g. familiarity with Python-based machine learning libraries such as scikit-learn, numpy/scipy and pandas)Strong understanding in one or more of the following areas preferred:Data mining and knowledge discoveryMachine learningText mining and taxonomyData clustering, categorisation, entity extractionVisualisation and link analysisArtificial intelligence algorithmsNeural network, fuzzy logic, evolutionary algorithmsKnowledge of Java programming, big data and streaming technologies such as Hadoop and Spark will be an added advantageApplicants with PhDs and/or more than 3 years of experience working in data science or machine learning domains will be considered for senior positionsApplicants must be Singapore Citizens  
