job_title; company; company_size; industry; required_experience; posting_date; closing_date; link; job_description
Data Scientist / Analyst ( UP $7K/ JURONG/ PhD/ Masters);    							    							        							       Search Index Pte Ltd    							     																						(Recruitment Firm);1 - 50 Employees;Human Resources Management/Consulting;Min 2 years (Manager) ;04-July-2018;03-August-2018;https://www.jobstreet.com.sg/en/job/data-scientist-analyst-up-7k-jurong-phd-masters-6596569?fr=21&src=16&srcr=16; UP $7K / MNC Jurong Area AWS + BONUS PHD / Masters in Physics, Maths, Chemistry and Computer Sciences Exp in Data Mining / AnalysisExp in Production Industry an added advantage  Responsibilities: Perform Data Analysis / MiningTransform Logic, Data into Algorithms Transfer findings and knowledge to Production / Product Development Ensure cost control in Projects Support DOE during Production process Requirement: PhD, Masters in Chemistry, Mathematics, Physics, Computer Sciences  To apply, please email your detailed CV in MS Word format to [email protected] with the following details inside your CV for faster processing:• Reasons for leaving each past  & current employment• Salary drawn for each past & current employment• Expected Salary• Earliest availability dateWe regret that only short-listed candidates will be contacted shortly.EA Licence No. | 14C7092EA Registration No. | R1110636EA Personnel | Pang Dan Pei (Danna)  
VP/AVP, Data Scientist, Big Data Analytics Group, Data Management Office;United Overseas Bank Limited (UOB);More than 5000 Employees;Banking/Financial Services;Min 5 years (Senior Executive) ;04-July-2018;03-August-2018;https://www.jobstreet.com.sg/en/job/vpavp-data-scientist-big-data-analytics-group-data-management-office-6595321?fr=21&src=16&srcr=16; The Data Management Office (DMO) is a business function that covers Enterprise Data Governance, Data Management, Big Data Analytics and Enterprise Data Strategy. Data Management Office ensures that UOB meets all data governance standards set by data regulators and optimize data management and usage to help UOB make smarter, faster and more accurate decisions and to improve operational efficiency. The Big Data Analytics Group (BDAG) leads the transformational build, use, and deployment of the banks next generation analytics capabilities across the organization. This exciting role will play a pivotal part as an Analytics Centre of Excellence that will take analytics to the next level through use of latest data and analytics technology currently being deployed. You will work either individually or in project teams as a subject matter expert to deliver new Big Data and Machine Learning solutions for our business partners. Your main responsibilities include: ·         Design analytical solutions/experiments to solve various strategic business problems through engagement and research.·         Building and deploying Machine Learning Algorithms, Advanced Analytics, and Data Visualization across the UOB group and region.·         Support the Enterprise Data Architecture and Governance Program in developing and transforming the Analytics Capabilities across the group.·         Partnering with assigned teams and/or business units to provide deep expertise and advisory on advanced data analytics needs.·         Strong knowledge of data and analytics architecture to ensure analytics objectives are aligned to business priorities on the Data Analytics Transformation Program.·         Drive Innovation initiatives under CDO guidance and directives. Requirements ·         Min Postgraduate in Statistics, Mathematics, Engineering , Computer Science or a related field·         Min 5 years advanced analytics working experience in banking / financial services / consulting industry Possess a strong selection of skills and experience with analytical frameworks and languages such as SQL, R, SPARK, Python,  Hive and other Hadoop-based languages·         Possess a strong ability to query and use large, robust data sets across traditional Data Warehouse and Hadoop platforms.·         An analytical mind and team player with demonstrated ability to build strong partnerships by applying quantitative techniques to solve business problems·         A strong communicator, with clear articulation of analytical findings through presentations.·         Experience with data visualization packages and/or tools will be a plus·         Innovative and Agile thinking - experience with Test and Learn Frameworks desirable 
(Master in Com Science/No Exp Ok!) Data Scientist - (Top IT MNC/ West/$8.5K+);Achieve Career Consultant Pte Ltd(Recruitment Firm);51 - 200 Employees;Human Resources Management/Consulting;Min 2 years (Junior Executive) ;03-July-2018;02-August-2018;https://www.jobstreet.com.sg/en/job/master-in-com-scienceno-exp-ok-data-scientist-top-it-mnc-west85k-6593943?fr=21&src=16&srcr=16; S$6,000 to S$8,500 + AWS + Performance BonusGlobal Listed MNC with Great Career ProgressionMonday to Friday / WestMachine learning/ Deep Learning/ Data Analysis/ Hadoop/ Spark/ Java/ Python/ RCandidate Must be willing to deploy out to government agencyOur Client is a leading Global MNC in IT Solution. They are looking for unique individual to join their growing business as a Data Scientist RESPONSIBILITIES:Work with and alongside stakeholders to model and frame business scenarios that are meaningful and impactful on critical business processes and/or decisionsIdentify what data is available and relevant for problem solvingDesign and develop innovative and effective approaches to solve clients' analytics problemsCollaborate and communicate with management, internal, and external partners regarding analysis results, methodologies, project progress, and issue resolutionProvide guidance and mentoring to less-experienced team membersREQUIREMENTS:Ph.D. or Master degree in Computer Science/Statistics/Mathematics/Physics or a related quantitative disciplineMinimum 2 years’ experience in data analysis/machine learning/deep learningstrong knowledge of data mining algorithms and techniquesStrong knowledge of big data processing framework and tools, such as Spark, Hadoop, MapReduce, etc.Proficiency in one or more programming languages including but not limited to: Python, Java, Scala, RExcellent written and verbal communication skillsAbility to effectively communicate analysis results to customers and negotiate options at management levelsOTHER INFORMATION:         Location                  : West         Working days          : 5 days -  Monday to Friday         Salary                      : $6,000 to $8,500  (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff. HOW TO APPLY:If you are a team player, meticulous & organized, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you.Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Alvin Wan Wei Jie (EA Personnel Reg. No.: R1770659) Email: [email protected] or call your friendly Consultant, Alvin, at 6590 9957 or 9117 2578 for a confidential discussion. Please indicate the below information in your resume:Current & Expected SalaryReason(s) for leaving        Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence. By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration. YOUR SUCCESS IS OUR ACHIEVEMENT!  
Data Scientist;Capita Pte Ltd(Recruitment Firm);51 - 200 Employees;Human Resources Management/Consulting;Min 5 years (Senior Executive) ;03-July-2018;02-August-2018;https://www.jobstreet.com.sg/en/job/data-scientist-6592739?fr=21&src=16&srcr=16; URGENT! Data Scientist   Job DescriptionThe RoleAs an esteemed team member of the Business Analytics function, our aim is to provide insights from very large data sets to improving outcomes while reducing costs. Key accountabilitiesDevelop analytical solutions to drive resultsSupport Product Development initiatives by engaging internal teams to seek out opportunities to innovate by using non-traditional data and new modeling techniquesAdvocate adoption of Business Analytics in driving strategy and optimizing existing operating modelsProvide expertise in Business Analytics through combination of BI and industry standard statistical techniques to implement solutions to meet needs, and to improve delivery and driven innovationImprove existing data governance framework, identify opportunities to address data gaps through business process re-engineering, and development of new data capture tools  Qualifications and ExperienceExperience with Business Intelligence tools, modeling techniques, and applying statistical solutions to business problemsHands on experience with one or more data analytics / programming tools such as Hadoop / R / Python / Hive, and visualization tools such as Power BI, Tableau or QlikGood business acumen with strong ability to solve business problems through data driven quantitative methodologiesExperience in healthcare will be an advantage  Interested candidates, who wish to apply for the above position; please send in your resume to [email protected] We regret that only shortlisted applicants will be notified by our consultants.   CAPITA Pte LtdRegistration No.: 08C2893 | EA REG R1216813Consultant code: JAM  
(Analysis) Data Scientist - (Listed IT MNC/$6K to $8.5K + GD BONUS/5 Days/ West);Achieve Career Consultant Pte Ltd(Recruitment Firm);51 - 200 Employees;Human Resources Management/Consulting;Min 2 years (Junior Executive) ;03-July-2018;02-August-2018;https://www.jobstreet.com.sg/en/job/analysis-data-scientist-listed-it-mnc6k-to-85k-gd-bonus5-days-west-6592340?fr=21&src=16&srcr=16; S$6,000 to S$8,500 + AWS + Performance BonusGlobal Listed MNC with Great Career ProgressionMonday to Friday / WestMachine learning/ Deep Learning/ Data Analysis/ Hadoop/ Spark/ Java/ Python/ RCandidate Must be willing to deploy out to government agencyOur Client is a leading Global MNC in IT Solution. They are looking for unique individual to join their growing business as a Data Scientist RESPONSIBILITIES:Work with and alongside stakeholders to model and frame business scenarios that are meaningful and impactful on critical business processes and/or decisionsIdentify what data is available and relevant for problem solvingDesign and develop innovative and effective approaches to solve clients' analytics problemsCollaborate and communicate with management, internal, and external partners regarding analysis results, methodologies, project progress, and issue resolutionProvide guidance and mentoring to less-experienced team membersREQUIREMENTS:Ph.D. or Master degree in Computer Science/Statistics/Mathematics/Physics or a related quantitative disciplineMinimum 2 years’ experience in data analysis/machine learning/deep learningstrong knowledge of data mining algorithms and techniquesStrong knowledge of big data processing framework and tools, such as Spark, Hadoop, MapReduce, etc.Proficiency in one or more programming languages including but not limited to: Python, Java, Scala, RExcellent written and verbal communication skillsAbility to effectively communicate analysis results to customers and negotiate options at management levelsOTHER INFORMATION:         Location                  : West         Working days          : 5 days -  Monday to Friday         Salary                      : $6,000 to $8,500  (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff. HOW TO APPLY: If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you. Simply submit your applicationby emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185) Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 or 8282 3717 for a confidential discussion. Please indicate the below information in your resume:         Current & Expected Salary         Reason(s) for leaving         Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration. YOUR SUCCESS IS OUR ACHIEVEMENT!  
Data Scientist;ST Electronics (Satcom & Sensor Systems) Pte Ltd;201 - 500 Employees;Electrical & Electronics;Min 2 years (Senior Executive) ;03-July-2018;23-July-2018;https://www.jobstreet.com.sg/en/job/data-scientist-6566216?fr=21&src=16&srcr=16; Job Description:Design and develop data analytics platform capable of handling satellite imagery of different formats and resolutions in order to facilitate geospatial and business intelligence analysisDetect, recognise and count objects on satellite imagery with high accuracy using machine vision and machine learning techniques    Build and optimise classifiers based on salient features and information from satellite imagery and other supporting data using AI and machine learning techniquesImplement data mining algorithms using relevant state-of-the-art methodsCurate satellite imagery and other geospatial data to enhance the data analytics platform in order to build models for GIS applications.Process, cleanse, and verify the integrity of imagery and associated data used for analysisJob Requirements:Degree or Masters in Computer engineering / computer science /statisticsKnowledge of satellite image processing and automatic classification using supervised machine learning techniquesKnowledge of programming languages such as Python, java, C# and C++Basic networking knowledgeKnowledge of geospatial databasesExcited by working on a startup-like team, contributing to the vision and creation of solutions that benefits our customersWe regret to inform that only shortlisted candidates will be notified.  
Senior Data Scientist;    							    							        							       Deloitte & Touche Enterprise Risk Services Pte Ltd    							     																					;51 - 200 Employees;Consulting (Business & Management);Min 5 years (Manager) ;03-July-2018;02-August-2018;https://www.jobstreet.com.sg/en/job/senior-data-scientist-6531362?fr=21&src=16&srcr=16; Your role at DeloitteAs a Senior Data Scientist, you may be involved in any one of these activities:• Take a leading role in designing, executing and delivering advisory services to high growth organizations with a diverse team consisting of data scientists, data architects, software developers, information designers, and business/industry subject matter experts• Lead, guide, and perform “hands on” statistical modelling and mathematical modeling, and work with junior resources to lead solution design and ensure quality of models and analysis• Play a leading role in the overall sales process, including creating and fostering client relationships, identifying new approaches and opportunities, and managing leads across the entire sales cycle• Manage different components of projects including managing teams of analysts and senior analysts of various sizes, day-to-day execution of the analytical solution and overall project, and communication with internal stakeholders and external clients.• Lead the development of the methodology for analytical solutions for clients business problems• Lead teams to integrate, and aggregate large amounts of data on a granular level, from structured and unstructured data sources to prepare analytical data set.• Participate in various structured and ad-hoc analysis projects with cross-functional teams within Deloitte• Lead the planning, data collection, and data analysis on client projects, and lead pitches and management of proposal bids What you will bring• Strong experience with applied statistical analytical techniques, algorithm development, data mining, and predictive models. Experience in clustering / segmentation, graph analysis, natural language processing, and / or other machine learning techniques preferred.• Specifically, 5-8 years work experience in the field of data science. Practical experience in building and deploying predictive models within large organizations, as well as building and data science leading teams• Applying supervised and unsupervised machine learning techniques to applied problems such as customer segmentation, fraud or risk analysis, revenue or product usage forecasting, etc.• Experience in working with databases and Big Data platforms to collect, transform and extract the right information for a machine learning use case• Experience in translating machine learning solutions to business value and driving deployment and adoption across organizations• Minimum of Honors Bachelor’s degree in a quantitative discipline including Econometrics, Marketing Science, Decision Sciences, Applied Mathematics, Statistics, or other quantitative field is required. Advanced degree (MA/MSc, Ph.D. equivalent or higher) is preferred.• Statistical software experience using (one or more): Python, R, SPSS Modeller, SAS, or similar tools is required• Machine learning framework experience using one or more: Tensorflow, Scikit-learn, Torch, or similar.• Database and programming languages experience and data manipulation and integration skills using (one or more) SQL, Postgres, Oracle, Hadoop, NoSQL Databases, Graph Databases or similar tools is required• Project management and people management experience is required• Strong track record exemplifying ability to quickly understand business problems, developing solutions and insights, and communicating them by leveraging data and analytics• Experience with social media analytics and/or text mining and/or optimization is an asset• Enthusiastic about solving complex problems with a variety of analytical tools• Strong oral and written communication skills are requiredJoin Deloitte and bring back that loving feeling. And love the company you keep. Lead yourself. Lead a team. Lead the firm. It’s all possible at Deloitte. Deloitte is an inclusive employer dedicated to building a diverse workforce. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective provincial human rights codes throughout all stages of the recruitment and selection process. Please advise the Recruiter to ensure your accessibility needs are accommodated throughout this process. Information received relating to accommodation will be addressed confidentially. We thank all applicants in advance for their interest| however, only those candidates selected for an interview will be contacted.  
APAC Data Scientist-047522;UPS Asia Group Pte. Ltd.;501 - 1000 Employees;Transportation/Logistics; Entry Level;02-July-2018;01-August-2018;https://www.jobstreet.com.sg/en/job/apac-data-scientist-047522-6584298?fr=21&src=16&srcr=16; Summary The Data Scientist implements advanced analytics models and solutions to yield predictive and prescriptive insights from large volumes of structured and unstructured data. He/ She works with a team that is responsible for researching and implementing advanced analytics models utilizing a diverse set of techniques. He/ She leverages data and Artificial Intelligence (AI)/ Machine Learning (ML) techniques and algorithms to predict an outcome based on a learned set of historical events. The Data Scientist has experience applying models to moderate to large scale problems.ResponsibilitiesDevelops data design based on exploratory data analysis to meet stated business need.Defines key data sources from UPS and external sources to deliver models.Writes code to collect and manipulate data from multiple data sources.Works with team to select and implement model development process from statistics and machine learning to answer business problems.Defines model KPI expectations and validation, testing, and re-training of existing models to meet business objectives.Reviews and creates repeatable solutions through written project documentation, process flowcharts, logs, and commented clean code to produce datasets that can be used in analytics and/or predictive modeling.Synthesizes insights and documents findings through clear and concise presentations and reports to inform stakeholders.Works with team to present operationalized analytic findings and provide recommendations.Develops data features that will serve as inputs to Artificial Intelligence (AI)/Machine Learning techniques to meet stated business requirements.Explores data to determine correlation of data to domain classification or regression problem.Develops procedures to monitor model and production system performance/integrity.Supports analysis and integration of tools and methods to provide desired results from models and requirements.Provides consultation to functional partners to support the design of planning systems.Creates technical documentation in compliance with internal Software Development Lifecycle to communicate and update project teams and stakeholders.Leverages analytics and visualization tools to design and present information to drive fact-based decision making.Skills and QualificationsDemonstrates extensive knowledge of statistical sampling, tests, and analyses and chooses the most appropriate methodDemonstrates extensive knowledge of multivariate and generalized linear models and time series modelsDemonstrates an ability to interpret results and draw conclusions from analyses| troubleshoots errors in data, models, and interpretation| creates processes for improving the integrity of existing data.Strong communication skills both oral and written.Strong project management skills, Project Management Office (PMO) or similar training or certification.Education or experience in disciplines associated with computer science, data science including advanced analytical techniques, data architecture, machine learning and associated mathematics and statistical capabilities. 
Data Scientist;Ministry of Home Affairs;51 - 200 Employees;Government/Defence; Entry Level;01-July-2018;21-July-2018;https://www.jobstreet.com.sg/en/job/data-scientist-6506242?fr=21&src=16&srcr=16; Responsibilities Derive meaningful statistics and actionable insights from synthesising, manipulating, correlating and analysing large amounts of data from variety of sourcesPresent and communicate data-driven findings and recommendations in a coherent, intuitive and concise manner to technical and non-technical stakeholdersConduct end-to-end data mining on complex data sources, including processing, cleaning, integrating, analysing, visualising and detecting anomaliesGather business requirements from end users, and leverage data, business principles and research findings to build proof-of-concept solutions that meet these needsEvaluate and make incremental improvements to internal, commercial and open-source toolsWork closely with end users, software development engineers, database engineers and project managers in the planning, development and delivery of solutionsRequirements Degree, preferably IT or Engineering-related. Candidates with no experience may applyOnly SingaporeansCurious, self-motivated, resourceful, meticulous and enjoys challengesPassionate about data analytics, data mining and problem solvingGood understanding of basic mathematical, statistical and analytical concepts, and their applicationsInterest and ability to gain expertise in and keep abreast of new developments in data mining/machine learning/data analytics algorithms, tools and methodsKnowledge and experience in any of the following would be advantageous|Statistical, analytical or numerical computing software and tools (e.g. R, SAS, SPSS, Stata, Matlab, Impala)Programming or scripting (Python, Java, JavaScript, C/C++, C#, Scala)Visual analytics or data visualisation techniques (e.g. Tableau, D3, Zeppelin)Machine learning and modelling (e.g. predictive analytics, natural language processing)Databases and related querying languages (e.g. SQL, Pig, Hive, SparkQL)Big data systems (e.g. Hadoop, Spark, Pig, Hive, MapReduce) 
Senior / Data Scientist;Cadmus Resources(Recruitment Firm);1 - 50 Employees;Human Resources Management/Consulting;Min 4 years (Senior Executive) ;30-June-2018;30-July-2018;https://www.jobstreet.com.sg/en/job/senior-data-scientist-6587838?fr=21&src=16&srcr=16; New Start Up Back by Major CorporationJoin the 'A Team' Led by Top Digital VeteransExcellent Benefits and Competitive Package Responsibilities:Understand business logics from domain experts and come up with reasonable targets for data projectsData fetching from different sources such as database, big data lake running on hadoop/hiveEnhancing data by building autonomous pipelines from different sourcesData wrangling by preprocessing, cleansing, and feature engineeringApplying state-of-art machine learning techniques such as RNN, CNN for predictions and anomaly detectionsBuild agile data products in a team of data engineers, scientists and business usersDoing ad-hoc analysis and presenting results in clear mannerGuide junior team members on their projectsHelp find opportunities from different business partnersRequirements:Master or PhD of Computer Science/Engineering, Applied Mathematics or other engineering related areaData-oriented personality and software engineering practicesExcellent understanding of machine learning models, their pros and consExperience with common data science toolkits such as Python/RExperience with data visualization tools such as D3.js, matplotlib and etcProficiency in using query languages such as SQL, HiveGood understanding of statistics, such as distributions, A/B testing, model overfitting/underfittingExperience with one of deep learning libraries such as Tensorflow, Keras, Pytorch, CNTK, MXNet etc To apply, please email your detailed CV in MS Word format to [email protected] with the following details inside your CV for faster processing: Reasons for leaving for each past and current employment Salary drawn for each past and current employment Expected salary Earliest availability date We regret that only short-listed candidates will be contacted shortly. 
